timestep,mean_reward,mean_ep_length,policy_loss,value_loss,entropy,approx_kl,clip_fraction,explained_variance,learning_rate,fps,elapsed
2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,3.158068895339966
4096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,5.552398681640625
6144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,7.991971969604492
8192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,10.427956104278564
10240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,12.895946264266968
12288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,15.231764793395996
14336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,17.491726398468018
16384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,19.68319582939148
18432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,21.79422688484192
20480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,23.89664459228516
22528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,26.08826160430908
24576,-100533.66807900369,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,28.14207601547241
26624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,32.11169385910034
28672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,34.17746329307556
30720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,36.2583692073822
32768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,38.6957323551178
34816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,40.82479572296143
36864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,43.23563480377197
38912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,45.36780381202698
40960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,47.71145009994507
43008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,49.871968030929565
45056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,52.012550592422485
47104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,54.18412637710571
49152,-106578.75895400345,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,56.36670207977295
51200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,60.68644309043884
53248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,62.84404182434082
55296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,65.15611791610718
57344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,67.35613512992859
59392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,69.62249255180359
61440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,71.94874477386475
63488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,74.29401302337646
65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,76.71794557571411
67584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,79.05700731277466
69632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,81.30511021614075
71680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,83.50251865386963
73728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,85.76483607292175
75776,-94773.14584720135,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,90.03396415710449
77824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,92.25589323043825
79872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,94.43429231643675
81920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,96.69848203659058
83968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,98.91556859016418
86016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,101.1856381893158
88064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,103.72207999229433
90112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,106.18340849876404
92160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,108.56676363945007
94208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,111.03367733955383
96256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,113.47484278678894
98304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,115.86463332176208
100352,-96660.28612554073,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,121.2739577293396
102400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,123.84478187561037
104448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,126.33610272407532
106496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,128.76066184043884
108544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,131.27983474731445
110592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,133.7305407524109
112640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,136.20566058158877
114688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,138.70877242088318
116736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,141.19249510765076
